name,lat,lon,population,distance_km,role
Genève,46.2017559,6.1466014,191557,0.0,depart
Fribourg,46.8055656,7.1612669,37485,177.4,etape
Bern,46.9484742,7.4521749,128848,241.1,etape
Arth,47.0644551,8.5238673,10794,412.2,etape
Schwyz,47.0211848,8.6535598,14750,427.0,etape
St. Gallen,47.425618,9.3762397,78213,572.5,etape
Chur,46.854747,9.5264904,37082,841.8,arrivee
