name,lat,lon,population,distance_km,role
Melun,48.539927,2.6608169,42367,0.0,depart
Montargis,47.9978628,2.7310072,15061,82.7,etape
Nevers,46.9876601,3.1577203,32830,250.5,etape
Clermont-Ferrand,45.7774551,3.0819427,147327,461.0,etape
Issoire,45.5432962,3.2501874,15014,520.2,etape
Saint-Flour,45.0334949,3.0931009,6423,660.3,etape
Mende,44.5180226,3.4991057,12316,779.5,etape
Nîmes,43.8374249,4.3600687,148104,953.3,arrivee
