name,lat,lon,population,postcode,wikidata,geoname_id,distance_km,elevation,role,country_code,wunderground_url,meteociel_url,lachainemeteo_url
Farges,45.1351514,2.910483,0.0,15300,,,612.7,488.0,etape,FR,https://www.wunderground.com/calendar/fr/farges/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-245917/previsions-meteo-farges-aujourdhui
Albepierre,45.0762907,2.8334578,237.0,15300,Q274165,,630.1,1050.0,meteo,FR,https://www.wunderground.com/calendar/fr/albepierre/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-582815/previsions-meteo-valuejols-aujourdhui
Saint-Flour,45.0334949,3.0931009,6423.0,15100,Q210763,,660.3,883.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-flour/LFLW,-,https://www.lachainemeteo.com/meteo-france/ville-582794/previsions-meteo-anglards-de-saint-flour-aujourdhui
Clavières d'Outre,44.9272322,3.2227603,0.0,15320,,,687.5,943.0,planning,FR,https://www.wunderground.com/calendar/fr/clavieres-d-outre/LFNB,-,https://www.lachainemeteo.com/meteo-france/village-831030/previsions-meteo-clavieres-d-outre-aujourdhui
Saint-Chély-d'Apcher,44.8011363,3.2757824,4096.0,48200,Q720522,,705.5,996.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-chely-d-apcher/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-216508/previsions-meteo-saint-chely-d-apcher-aujourdhui
Fontans,44.7395,3.38701,235.0,48700,,,722.5,800.0,etape,FR,https://www.wunderground.com/calendar/fr/fontans/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-343227/previsions-meteo-fontans-aujourdhui
Estables,44.6688,3.48727,174.0,48700,,,743.4,1191.0,planning,FR,https://www.wunderground.com/calendar/fr/estables/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-343357/previsions-meteo-serverette-aujourdhui
Mende,44.5180226,3.4991057,12316.0,48000,Q191772,,779.5,734.0,planning,FR,https://www.wunderground.com/calendar/fr/mende/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-343197/previsions-meteo-barjac-aujourdhui
Saint-Étienne-du-Valdonnez,44.4557857,3.5620097,638.0,48000,Q192645,,791.4,961.0,planning,FR,https://www.wunderground.com/calendar/fr/saint-etienne-du-valdonnez/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-1272096/previsions-meteo-saint-martin-du-born-aujourdhui
Cocurès,44.3481239,3.6199756,446.0,48400,,,816.1,585.0,planning,FR,https://www.wunderground.com/calendar/fr/cocures/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-343219/previsions-meteo-cocures-aujourdhui
Barre-des-Cévennes,44.2457,3.65317,200.0,48400,Q383658,,842.4,918.0,planning,FR,https://www.wunderground.com/calendar/fr/barre-des-cevennes/LFNB,-,https://www.lachainemeteo.com/meteo-france/village-208874/previsions-meteo-le-pont-de-barre-aujourdhui
Le Pompidou,44.1952833,3.6536179,0.0,48110,,,856.7,785.0,meteo,FR,https://www.wunderground.com/calendar/fr/le-pompidou/LFNB,-,https://www.lachainemeteo.com/meteo-france/ville-1169126/previsions-meteo-le-pompidou-aujourdhui
Saint-André-de-Valborgne,44.1557,3.68366,354.0,30940,Q651757,,865.6,761.0,etape,FR,https://www.wunderground.com/calendar/fr/saint-andre-de-valborgne/LFMS,-,https://www.lachainemeteo.com/meteo-france/ville-579087/previsions-meteo-saint-andre-de-bohon-aujourdhui
L'Estréchure,44.1078044,3.7830727,153.0,30124,,,879.0,303.0,planning,FR,https://www.wunderground.com/calendar/fr/l-estrechure/LFMS,-,https://www.lachainemeteo.com/meteo-france/ville-578353/previsions-meteo-peyrolles-aujourdhui
Nîmes,43.84317,4.34956,,30000,,,953.3,109.0,arrivee,FR,https://www.wunderground.com/calendar/fr/nimes/LFTW,-,https://www.lachainemeteo.com/meteo-france/ville-126998/previsions-meteo-les-hauts-de-nimes-aujourdhui
